<<<<<<< HEAD
[2020-04-16 11:51:02,950] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-16 11:51:03,406] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
=======
[2020-04-18 13:00:25,923] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 13:00:25,986] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 13:02:27,033] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 13:02:27,033] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 13:02:27,042] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 13:02:27,099] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 13:02:27,111] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 13:02:27,111] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 13:04:02,205] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 13:04:02,237] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 13:04:02,248] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 13:04:02,291] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 13:04:02,306] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 13:04:02,329] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
>>>>>>> 285e1389fa6d0351abd0e0a101cc7d4081381eee
[2020-04-18 18:06:20,510] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 18:06:20,838] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 18:06:21,454] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 18:06:21,610] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-04-18 18:06:21,725] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-04-18 18:06:21,821] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
