| 90-HK-17 | 1587036227063 | 1 | 130 | ON |
| 13-DP-56 | 1587036227069 | 1 | 10 | OFF |
| 48-ZC-20 | 1587036227141 | 1 | 140 | ON |
| 90-HK-17 | 1587036227143 | 1 | 60 | OFF |
| 08-DF-40 | 1587036227210 | 1 | 130 | ON |
| 13-DP-56 | 1587036227227 | 1 | 100 | OFF |
| 48-ZC-20 | 1587036227244 | 1 | 140 | ON |
| 69-DS-30 | 1587036227293 | 1 | 40 | OFF |
| 95-NT-79 | 1587036227308 | 1 | 130 | ON |
| 69-DS-30 | 1587036227324 | 1 | 110 | OFF |
| 13-DP-56 | 1587036227566 | 1 | 130 | ON |
| 08-DF-40 | 1587036227603 | 1 | 20 | OFF |
| 90-HK-17 | 1587036227620 | 1 | 130 | ON |
| 90-HK-17 | 1587036227625 | 1 | 110 | OFF |
